n,case,alg,ns_per_call,sink
1,random,binary,11.13,-83412
2,random,binary,13.64,-57243
4,random,binary,15.25,10364
8,random,binary,19.70,175570
16,random,binary,24.81,548673
32,random,binary,29.84,1325523
64,random,binary,30.09,2920741
128,random,binary,34.14,6125347
256,random,binary,39.89,12514515
512,random,binary,42.71,25364143
1024,random,binary,47.63,50672999
2048,random,binary,52.26,102259593
4096,random,binary,57.81,204032305
8192,random,binary,62.23,409005107
16384,random,binary,71.03,817563799
32768,random,binary,79.56,1638745198
65536,random,binary,87.16,-1007700926
131072,random,binary,98.07,-2022277802
