n,case,alg,ns_per_call,sink
1,random,linear,11.98,-1644
2,random,linear,14.48,-1158
4,random,linear,17.57,182
8,random,linear,28.36,3561
16,random,linear,28.82,11035
32,random,linear,37.23,26181
64,random,linear,53.53,59085
128,random,linear,81.80,119757
256,random,linear,142.93,247431
512,random,linear,266.99,499647
1024,random,linear,473.31,1027933
2048,random,linear,920.47,2048110
4096,random,linear,1925.17,4112748
8192,random,linear,3779.36,8289798
16384,random,linear,7387.52,16504611
32768,random,linear,14646.09,32721883
65536,random,linear,29248.51,66786036
131072,random,linear,57403.54,130430272
