n,case,algorithm,ns_per_call
4,random,insertion_sort,43.61
4,random,selection_sort,52.13
4,random,merge_sort,58.45
4,random,quick_sort,56.70
4,random,heap_sort,52.90
8,random,insertion_sort,92.57
8,random,selection_sort,139.44
8,random,merge_sort,142.31
8,random,quick_sort,153.50
8,random,heap_sort,137.11
16,random,insertion_sort,198.14
16,random,selection_sort,368.30
16,random,merge_sort,329.66
16,random,quick_sort,346.98
16,random,heap_sort,350.45
32,random,insertion_sort,409.20
32,random,selection_sort,994.70
32,random,merge_sort,751.15
32,random,quick_sort,778.36
32,random,heap_sort,869.71
64,random,insertion_sort,994.44
64,random,selection_sort,2979.88
64,random,merge_sort,1657.36
64,random,quick_sort,1737.25
64,random,heap_sort,2053.20
128,random,insertion_sort,3548.58
128,random,selection_sort,8919.19
128,random,merge_sort,3854.03
128,random,quick_sort,3887.17
128,random,heap_sort,4834.81
256,random,insertion_sort,10538.22
256,random,selection_sort,28618.22
256,random,merge_sort,8604.07
256,random,quick_sort,8743.87
256,random,heap_sort,10778.06
512,random,insertion_sort,24240.88
512,random,selection_sort,80651.49
512,random,merge_sort,16313.55
512,random,quick_sort,15671.33
512,random,heap_sort,20338.59
1024,random,insertion_sort,84301.56
1024,random,selection_sort,291951.29
1024,random,merge_sort,36231.41
1024,random,quick_sort,34153.43
1024,random,heap_sort,46415.76
2048,random,insertion_sort,325659.29
2048,random,selection_sort,1100326.48
2048,random,merge_sort,79778.05
2048,random,quick_sort,74909.55
2048,random,heap_sort,101794.92
4096,random,insertion_sort,1262107.96
4096,random,selection_sort,4268908.37
4096,random,merge_sort,174657.81
4096,random,quick_sort,162486.25
4096,random,heap_sort,220499.77
8192,random,insertion_sort,4992339.33
8192,random,selection_sort,16802702.65
8192,random,merge_sort,380233.77
8192,random,quick_sort,348597.41
8192,random,heap_sort,478512.40
